t,u,xd,x,I
3.689997,-0.566929,0.360683,0.362010,-30.000000
3.699997,0.586105,0.361615,0.362999,-19.000000
3.709997,-0.308337,0.362547,0.363145,-3.000000
3.719997,-0.564520,0.363479,0.364396,-5.000000
3.729997,0.579885,0.364410,0.365530,-3.000000
3.739997,0.126102,0.365342,0.365676,-9.000000
3.749997,-0.584382,0.366272,0.366839,3.000000
3.759997,-0.567087,0.367203,0.368584,0.000000
3.769997,0.592222,0.368133,0.369486,-7.000000
3.779997,0.121674,0.369062,0.369399,45.000000
3.789997,-0.570871,0.369991,0.370446,-17.000000
3.799997,0.592195,0.370920,0.371581,4.000000
3.809997,0.449815,0.371849,0.371406,-58.000000
3.819997,-0.570944,0.372777,0.372221,-71.000000
3.829997,0.592167,0.373704,0.373530,-10.000000
3.839997,0.566179,0.374632,0.373268,69.000000
3.849997,0.170905,0.375559,0.373908,-57.000000
3.859997,0.307004,0.376485,0.375071,-55.000000
3.869997,0.315090,0.377412,0.375915,0.000000
3.879997,0.162976,0.378338,0.376729,-40.000000
3.889997,-0.338453,0.379263,0.377747,-13.000000
3.899997,0.542306,0.380188,0.378824,-2.000000
3.909997,0.343768,0.381113,0.379318,46.000000
3.919997,-0.571142,0.382037,0.380278,-2.000000
3.929997,0.568508,0.382961,0.381704,-1.000000
3.939997,0.325389,0.383885,0.382227,-34.000000
3.949997,-0.588530,0.384808,0.383332,78.000000
3.959997,-0.581136,0.385731,0.385252,-49.000000
3.969997,-0.036984,0.386653,0.386765,-79.000000
3.979997,0.562262,0.387575,0.387405,13.000000
3.989997,-0.602241,0.388497,0.388365,-83.000000
3.999997,-0.592381,0.389418,0.390721,-3.000000
4.009997,-0.503012,0.390339,0.392408,-68.000000
4.019997,0.572138,0.391259,0.393077,-12.000000
4.029997,-0.378815,0.392180,0.393106,-58.000000
4.039998,-0.403683,0.393099,0.394241,15.000000
4.049998,0.585705,0.394019,0.395055,43.000000
4.059998,0.106212,0.394937,0.395143,-7.000000
4.069998,-0.588830,0.395856,0.396364,47.000000
